country_name,eprtrSectorName,reportingYear,total_waste
Austria,"Animal and vegetable products from the food and beverage sector",2019,132582.90
Austria,"Other activities",2019,29306.02
Austria,"Production and processing of metals",2019,282654.12
Austria,"Waste and wastewater management",2019,2685884.97
Austria,"Paper and wood production and processing",2019,569363.57
Austria,"Energy sector",2019,80203.83
Austria,"Mineral industry",2019,9890.98
Austria,"Animal and vegetable products from the food and beverage sector",2020,67782.08
Austria,"Energy sector",2020,61288.46
Austria,"Production and processing of metals",2020,214885.69
Austria,"Mineral industry",2020,7295.27
Austria,"Chemical industry",2020,56104.29
Austria,"Waste and wastewater management",2020,1355486.78
Austria,"Paper and wood production and processing",2020,516423.80
Austria,"Other activities",2020,22542.33
Belgium,"Waste and wastewater management",2007,7411807.81
Belgium,"Chemical industry",2007,711958.09
Belgium,"Other activities",2007,98665.95
Belgium,"Mineral industry",2007,160938.09
Belgium,"Energy sector",2007,406488.84
Belgium,"Production and processing of metals",2007,3844749.31
Belgium,"Paper and wood production and processing",2007,475473.16
Belgium,"Intensive livestock production and aquaculture",2007,5.60
Belgium,"Animal and vegetable products from the food and beverage sector",2007,1851892.07
Belgium,"Energy sector",2008,482436.55
Belgium,"Production and processing of metals",2008,3683416.94
Belgium,"Mineral industry",2008,257935.51
Belgium,"Chemical industry",2008,472573.42
Belgium,"Waste and wastewater management",2008,7383931.62
Belgium,"Paper and wood production and processing",2008,540674.82
Belgium,"Intensive livestock production and aquaculture",2008,44.90
Belgium,"Animal and vegetable products from the food and beverage sector",2008,1644843.37
Belgium,"Other activities",2008,146703.61
Belgium,"Paper and wood production and processing",2009,497961.25
Belgium,"Chemical industry",2009,472268.94
Belgium,"Production and processing of metals",2009,1961553.95
Belgium,"Waste and wastewater management",2009,7779900.96
Belgium,"Other activities",2009,131804.87
Belgium,"Animal and vegetable products from the food and beverage sector",2009,2182010.19
Belgium,"Energy sector",2009,513583.02
Belgium,"Mineral industry",2009,470910.10
Belgium,"Animal and vegetable products from the food and beverage sector",2010,2301597.29
Belgium,"Energy sector",2010,987966.53
Belgium,"Production and processing of metals",2010,2476442.40
Belgium,"Mineral industry",2010,406378.02
Belgium,"Chemical industry",2010,731448.82
Belgium,"Other activities",2010,126937.71
Belgium,"Waste and wastewater management",2010,8973501.80
Belgium,"Paper and wood production and processing",2010,670062.77
Belgium,"Intensive livestock production and aquaculture",2010,18176.75
Belgium,"Chemical industry",2011,750058.47
Belgium,"Mineral industry",2011,422445.06
Belgium,"Production and processing of metals",2011,2667485.06
Belgium,"Energy sector",2011,1437726.87
Belgium,"Waste and wastewater management",2011,7272273.13
Belgium,"Animal and vegetable products from the food and beverage sector",2011,2340102.23
Belgium,"Other activities",2011,165545.70
Belgium,"Paper and wood production and processing",2011,630780.96
Belgium,"Intensive livestock production and aquaculture",2011,14.13
Belgium,"Mineral industry",2012,390949.16
Belgium,"Chemical industry",2012,707892.50
Belgium,"Waste and wastewater management",2012,6847916.35
Belgium,"Paper and wood production and processing",2012,534673.14
Belgium,"Intensive livestock production and aquaculture",2012,74.78
Belgium,"Animal and vegetable products from the food and beverage sector",2012,1886731.07
Belgium,"Other activities",2012,108738.94
Belgium,"Production and processing of metals",2012,1284676.07
Belgium,"Energy sector",2012,1031115.41
Belgium,"Chemical industry",2013,654654.09
Belgium,"Mineral industry",2013,366397.50
Belgium,"Animal and vegetable products from the food and beverage sector",2013,2066368.89
Belgium,"Waste and wastewater management",2013,7255130.63
Belgium,"Other activities",2013,102022.76
Belgium,"Paper and wood production and processing",2013,532330.05
Belgium,"Intensive livestock production and aquaculture",2013,120.74
Belgium,"Energy sector",2013,1101521.85
Belgium,"Production and processing of metals",2013,1286848.12
Belgium,"Energy sector",2014,1281733.81
Belgium,"Production and processing of metals",2014,1575038.10
Belgium,"Mineral industry",2014,195933.51
Belgium,"Chemical industry",2014,652290.34
Belgium,"Waste and wastewater management",2014,8935451.00
Belgium,"Paper and wood production and processing",2014,497304.82
Belgium,"Animal and vegetable products from the food and beverage sector",2014,2371826.09
Belgium,"Intensive livestock production and aquaculture",2014,208.73
Belgium,"Other activities",2014,124306.82
Belgium,"Chemical industry",2015,725277.29
Belgium,"Waste and wastewater management",2015,9930371.82
Belgium,"Paper and wood production and processing",2015,530173.18
Belgium,"Intensive livestock production and aquaculture",2015,16676.68
Belgium,"Animal and vegetable products from the food and beverage sector",2015,2549954.20
Belgium,"Other activities",2015,118408.18
Belgium,"Energy sector",2015,1255056.57
Belgium,"Production and processing of metals",2015,1322171.49
Belgium,"Mineral industry",2015,245192.50
Belgium,"Energy sector",2016,1164045.23
Belgium,"Production and processing of metals",2016,1508370.31
Belgium,"Mineral industry",2016,225146.10
Belgium,"Chemical industry",2016,758201.62
Belgium,"Waste and wastewater management",2016,10519432.54
Belgium,"Paper and wood production and processing",2016,586329.78
Belgium,"Intensive livestock production and aquaculture",2016,1238.88
Belgium,"Animal and vegetable products from the food and beverage sector",2016,2578274.20
Belgium,"Other activities",2016,114235.80
Belgium,"Paper and wood production and processing",2017,511034.64
Belgium,"Production and processing of metals",2017,1445615.68
Belgium,"Chemical industry",2017,813949.61
Belgium,"Mineral industry",2017,416543.32
Belgium,"Intensive livestock production and aquaculture",2017,1037.58
Belgium,"Animal and vegetable products from the food and beverage sector",2017,2737236.44
Belgium,"Other activities",2017,110558.99
Belgium,"Waste and wastewater management",2017,17398577.21
Belgium,"Energy sector",2017,1164284.18
Belgium,"Other activities",2018,148121.86
Belgium,"Mineral industry",2018,7704732.55
Belgium,"Chemical industry",2018,855774.62
Belgium,"Waste and wastewater management",2018,9936224.25
Belgium,"Animal and vegetable products from the food and beverage sector",2018,3322227.09
Belgium,"Production and processing of metals",2018,1427327.10
Belgium,"Energy sector",2018,1058397.50
Belgium,"Intensive livestock production and aquaculture",2018,271.88
Belgium,"Paper and wood production and processing",2018,583646.55
Belgium,"Energy sector",2019,980316.89
Belgium,"Production and processing of metals",2019,1217398.03
Belgium,"Mineral industry",2019,619843.84
Belgium,"Chemical industry",2019,779052.90
Belgium,"Waste and wastewater management",2019,9517360.32
Belgium,"Paper and wood production and processing",2019,520426.56
Belgium,"Intensive livestock production and aquaculture",2019,612.24
Belgium,"Animal and vegetable products from the food and beverage sector",2019,2927106.45
Belgium,"Other activities",2019,160331.37
Belgium,"Intensive livestock production and aquaculture",2020,10745.10
Belgium,"Waste and wastewater management",2020,9567066.32
Belgium,"Animal and vegetable products from the food and beverage sector",2020,3270969.19
Belgium,"Other activities",2020,112655.15
Belgium,"Mineral industry",2020,135318.82
Belgium,"Production and processing of metals",2020,1337471.18
Belgium,"Energy sector",2020,913816.80
Belgium,"Paper and wood production and processing",2020,641796.85
Belgium,"Chemical industry",2020,688318.09
Bulgaria,"Chemical industry",2007,54276.64
Bulgaria,"Energy sector",2007,6786338.86
Bulgaria,"Production and processing of metals",2007,1042788.30
Bulgaria,"Mineral industry",2007,107907.87
Bulgaria,"Other activities",2007,20260.40
Bulgaria,"Intensive livestock production and aquaculture",2007,90.80
Bulgaria,"Paper and wood production and processing",2007,45532.50
Bulgaria,"Waste and wastewater management",2007,100468.08
Bulgaria,"Energy sector",2008,6877381.78
Bulgaria,"Chemical industry",2008,192369.27
Bulgaria,"Production and processing of metals",2008,684457.38
Bulgaria,"Mineral industry",2008,93825.17
Bulgaria,"Other activities",2008,39032.67
Bulgaria,"Intensive livestock production and aquaculture",2008,2.92
Bulgaria,"Paper and wood production and processing",2008,40092.78
Bulgaria,"Waste and wastewater management",2008,281793.00
Bulgaria,"Chemical industry",2009,544291.00
Bulgaria,"Mineral industry",2009,84327.26
Bulgaria,"Waste and wastewater management",2009,184694.28
Bulgaria,"Paper and wood production and processing",2009,18703.50
Bulgaria,"Other activities",2009,23579.14
Bulgaria,"Energy sector",2009,3273495.00
Bulgaria,"Production and processing of metals",2009,352284.46
Bulgaria,"Mineral industry",2010,101595.55
Bulgaria,"Chemical industry",2010,859502.07
Bulgaria,"Waste and wastewater management",2010,173729.00
Bulgaria,"Production and processing of metals",2010,509005.50
Bulgaria,"Paper and wood production and processing",2010,56159.66
Bulgaria,"Intensive livestock production and aquaculture",2010,3.67
Bulgaria,"Other activities",2010,24455.07
Bulgaria,"Energy sector",2010,7958362.62
Bulgaria,"Energy sector",2011,9938085.19
Bulgaria,"Production and processing of metals",2011,327541.75
Bulgaria,"Mineral industry",2011,97093.79
Bulgaria,"Waste and wastewater management",2011,188915.91
Bulgaria,"Paper and wood production and processing",2011,89571.81
Bulgaria,"Other activities",2011,38538.68
Bulgaria,"Chemical industry",2011,944432.80
Bulgaria,"Waste and wastewater management",2012,341685.18
Bulgaria,"Production and processing of metals",2012,287177.53
Bulgaria,"Other activities",2012,28240.52
Bulgaria,"Energy sector",2012,9470107.40
Bulgaria,"Mineral industry",2012,90538.42
Bulgaria,"Animal and vegetable products from the food and beverage sector",2012,28449.98
Bulgaria,"Paper and wood production and processing",2012,27002.81
Bulgaria,"Chemical industry",2012,948375.31
Bulgaria,"Waste and wastewater management",2013,338862.56
Bulgaria,"Production and processing of metals",2013,277275.54
Bulgaria,"Mineral industry",2013,235230.72
Bulgaria,"Chemical industry",2013,939680.00
Bulgaria,"Animal and vegetable products from the food and beverage sector",2013,2738.90
Bulgaria,"Other activities",2013,26208.71
Bulgaria,"Energy sector",2013,8439084.20
Bulgaria,"Paper and wood production and processing",2013,52743.16
Bulgaria,"Mineral industry",2014,188646.31
Bulgaria,"Intensive livestock production and aquaculture",2014,4.00
Bulgaria,"Animal and vegetable products from the food and beverage sector",2014,3269.20
Bulgaria,"Other activities",2014,4591.77
Bulgaria,"Paper and wood production and processing",2014,60343.87
Bulgaria,"Waste and wastewater management",2014,229201.33
Bulgaria,"Energy sector",2014,8767443.32
Bulgaria,"Production and processing of metals",2014,335329.39
Bulgaria,"Chemical industry",2014,1087752.16
Bulgaria,"Mineral industry",2015,85567.09
Bulgaria,"Chemical industry",2015,949573.24
Bulgaria,"Production and processing of metals",2015,248560.06
Bulgaria,"Waste and wastewater management",2015,305869.24
Bulgaria,"Paper and wood production and processing",2015,38022.26
Bulgaria,"Animal and vegetable products from the food and beverage sector",2015,3554.10
Bulgaria,"Other activities",2015,6187.10
Bulgaria,"Energy sector",2015,7093066.71
Bulgaria,"Energy sector",2016,7414613.13
Bulgaria,"Mineral industry",2016,55447.97
Bulgaria,"Other activities",2016,17392.88
Bulgaria,"Waste and wastewater management",2016,266415.44
Bulgaria,"Production and processing of metals",2016,295827.48
Bulgaria,"Animal and vegetable products from the food and beverage sector",2016,7172.22
Bulgaria,"Chemical industry",2016,1238341.53
Bulgaria,"Paper and wood production and processing",2016,33600.00
Bulgaria,"Mineral industry",2017,104093.81
Bulgaria,"Animal and vegetable products from the food and beverage sector",2017,10174.20
Bulgaria,"Other activities",2017,13177.30
Bulgaria,"Energy sector",2017,8416323.65
Bulgaria,"Production and processing of metals",2017,342740.89
Bulgaria,"Chemical industry",2017,1013252.94
Bulgaria,"Waste and wastewater management",2017,266608.60
Bulgaria,"Paper and wood production and processing",2017,37638.81
Bulgaria,"Animal and vegetable products from the food and beverage sector",2018,5952.00
Bulgaria,"Intensive livestock production and aquaculture",2018,4137.00
Bulgaria,"Other activities",2018,33174.00
Bulgaria,"Chemical industry",2018,1352754.00
Bulgaria,"Mineral industry",2018,99819.00
Bulgaria,"Paper and wood production and processing",2018,58976.00
Bulgaria,"Waste and wastewater management",2018,273985.00
Bulgaria,"Production and processing of metals",2018,345245.00
Bulgaria,"Energy sector",2018,5671790.00
Bulgaria,"Energy sector",2019,7696973.00
Bulgaria,"Mineral industry",2019,74860.00
Bulgaria,"Waste and wastewater management",2019,187212.00
Bulgaria,"Paper and wood production and processing",2019,57052.00
Bulgaria,"Chemical industry",2019,511181.00
Bulgaria,"Intensive livestock production and aquaculture",2019,3602.00
Bulgaria,"Animal and vegetable products from the food and beverage sector",2019,10640.00
Bulgaria,"Other activities",2019,20329.00
Bulgaria,"Production and processing of metals",2019,332042.00
Bulgaria,"Animal and vegetable products from the food and beverage sector",2020,8624.00
Bulgaria,"Mineral industry",2020,55087.00
Bulgaria,"Paper and wood production and processing",2020,53054.00
Bulgaria,"Energy sector",2020,6183633.00
Bulgaria,"Production and processing of metals",2020,293028.00
Bulgaria,"Waste and wastewater management",2020,193986.00
Bulgaria,"Intensive livestock production and aquaculture",2020,22003.00
Bulgaria,"Chemical industry",2020,1314503.00
Bulgaria,"Other activities",2020,36658.00
Croatia,"Energy sector",2014,17923.48
Croatia,"Paper and wood production and processing",2014,22734.94
Croatia,"Intensive livestock production and aquaculture",2014,4510.59
Croatia,"Animal and vegetable products from the food and beverage sector",2014,52715.27
Croatia,"Other activities",2014,9070.28
Croatia,"Chemical industry",2014,2056.40
Croatia,"Mineral industry",2014,15892.07
Croatia,"Waste and wastewater management",2014,130471.76
Croatia,"Production and processing of metals",2014,35210.11
Croatia,"Chemical industry",2015,1771.87
Croatia,"Paper and wood production and processing",2015,26500.49
Croatia,"Waste and wastewater management",2015,110882.56
Croatia,"Intensive livestock production and aquaculture",2015,4256.53
Croatia,"Animal and vegetable products from the food and beverage sector",2015,12260.01
Croatia,"Mineral industry",2015,3544.29
Croatia,"Production and processing of metals",2015,16249.77
Croatia,"Energy sector",2015,24743.65
Croatia,"Other activities",2015,11818.94
Croatia,"Chemical industry",2016,2325.98
Croatia,"Mineral industry",2016,4260.67
Croatia,"Waste and wastewater management",2016,202088.44
Croatia,"Energy sector",2016,22850.42
Croatia,"Paper and wood production and processing",2016,25874.23
Croatia,"Other activities",2016,11897.65
Croatia,"Intensive livestock production and aquaculture",2016,4903.43
Croatia,"Production and processing of metals",2016,39030.01
Croatia,"Animal and vegetable products from the food and beverage sector",2016,17655.40
Croatia,"Intensive livestock production and aquaculture",2017,20.86
Croatia,"Paper and wood production and processing",2017,48890.47
Croatia,"Mineral industry",2017,12642.76
Croatia,"Energy sector",2017,24248.38
Croatia,"Chemical industry",2017,6383.32
Croatia,"Production and processing of metals",2017,21538.17
Croatia,"Waste and wastewater management",2017,190872.19
Croatia,"Animal and vegetable products from the food and beverage sector",2017,13207.78
Croatia,"Other activities",2017,16818.42
Croatia,"Energy sector",2018,69838.19
Croatia,"Chemical industry",2018,3102.33
Croatia,"Waste and wastewater management",2018,254176.59
Croatia,"Paper and wood production and processing",2018,46904.91
Croatia,"Intensive livestock production and aquaculture",2018,24.70
Croatia,"Animal and vegetable products from the food and beverage sector",2018,18794.18
Croatia,"Mineral industry",2018,46944.57
Croatia,"Other activities",2018,9050.28
Croatia,"Production and processing of metals",2018,31331.40
Croatia,"Animal and vegetable products from the food and beverage sector",2019,13011.97
Croatia,"Mineral industry",2019,77153.22
Croatia,"Other activities",2019,8240.78
Croatia,"Production and processing of metals",2019,51250.83
Croatia,"Paper and wood production and processing",2019,42854.66
Croatia,"Chemical industry",2019,2717.58
Croatia,"Waste and wastewater management",2019,298779.97
Croatia,"Energy sector",2019,75342.85
Croatia,"Intensive livestock production and aquaculture",2019,23.98
Croatia,"Intensive livestock production and aquaculture",2020,24.94
Croatia,"Other activities",2020,9846.25
Croatia,"Energy sector",2020,51185.11
Croatia,"Paper and wood production and processing",2020,44393.12
Croatia,"Waste and wastewater management",2020,299962.58
Croatia,"Production and processing of metals",2020,34836.17
Croatia,"Mineral industry",2020,16591.04
Croatia,"Chemical industry",2020,2347.39
Croatia,"Animal and vegetable products from the food and beverage sector",2020,11133.67
Cyprus,"Energy sector",2007,564.01
Cyprus,"Production and processing of metals",2007,20.71
Cyprus,"Mineral industry",2007,76.00
Cyprus,"Waste and wastewater management",2007,10857.00
Cyprus,"Animal and vegetable products from the food and beverage sector",2007,6720.00
Cyprus,"Energy sector",2008,766.00
Cyprus,"Production and processing of metals",2008,12.00
Cyprus,"Mineral industry",2008,79.60
Cyprus,"Waste and wastewater management",2008,11280.00
Cyprus,"Animal and vegetable products from the food and beverage sector",2008,5940.00
Cyprus,"Energy sector",2009,950.60
Cyprus,"Production and processing of metals",2009,7.00
Cyprus,"Mineral industry",2009,56.00
Cyprus,"Waste and wastewater management",2009,8221.00
Cyprus,"Animal and vegetable products from the food and beverage sector",2009,4650.00
Cyprus,"Production and processing of metals",2010,13.10
Cyprus,"Waste and wastewater management",2010,19364.00
Cyprus,"Animal and vegetable products from the food and beverage sector",2010,3924.00
Cyprus,"Mineral industry",2010,56.92
Cyprus,"Energy sector",2010,1173.60
Cyprus,"Waste and wastewater management",2011,24553.67
Cyprus,"Energy sector",2011,1973.20
Cyprus,"Production and processing of metals",2011,17.50
Cyprus,"Mineral industry",2011,92.45
Cyprus,"Production and processing of metals",2012,5.40
Cyprus,"Mineral industry",2012,376.11
Cyprus,"Waste and wastewater management",2012,21180.48
Cyprus,"Animal and vegetable products from the food and beverage sector",2012,5032.00
Cyprus,"Energy sector",2012,1177.70
Cyprus,"Energy sector",2013,203.00
Cyprus,"Production and processing of metals",2013,26.50
Cyprus,"Mineral industry",2013,9308.48
Cyprus,"Waste and wastewater management",2013,23833.90
Cyprus,"Intensive livestock production and aquaculture",2013,2620.00
Cyprus,"Animal and vegetable products from the food and beverage sector",2013,3407.00
Cyprus,"Production and processing of metals",2014,50.90
Cyprus,"Intensive livestock production and aquaculture",2014,2690.00
Cyprus,"Waste and wastewater management",2014,26738.86
Cyprus,"Mineral industry",2014,5319.60
Cyprus,"Energy sector",2014,412.40
Cyprus,"Energy sector",2015,319.00
Cyprus,"Production and processing of metals",2015,13.50
Cyprus,"Animal and vegetable products from the food and beverage sector",2015,3230.00
Cyprus,"Waste and wastewater management",2015,74490.67
Cyprus,"Mineral industry",2015,6922.60
Cyprus,"Production and processing of metals",2016,2.38
Cyprus,"Mineral industry",2016,12345.30
Cyprus,"Waste and wastewater management",2016,50279.60
Cyprus,"Energy sector",2016,351.00
Cyprus,"Energy sector",2017,462.60
Cyprus,"Production and processing of metals",2017,31.40
Cyprus,"Mineral industry",2017,29374.78
Cyprus,"Waste and wastewater management",2017,51425.10
Cyprus,"Waste and wastewater management",2018,56950.26
Cyprus,"Energy sector",2018,388.80
Cyprus,"Mineral industry",2018,29581.06
Cyprus,"Animal and vegetable products from the food and beverage sector",2019,2886.50
Cyprus,"Intensive livestock production and aquaculture",2019,2836.05
Cyprus,"Waste and wastewater management",2019,58740.75
Cyprus,"Mineral industry",2019,15536.77
Cyprus,"Energy sector",2019,351.30
Czechia,"Energy sector",2007,1668184.95
Czechia,"Other activities",2007,135109.64
Czechia,"Animal and vegetable products from the food and beverage sector",2007,74945.02
Czechia,"Intensive livestock production and aquaculture",2007,41872.13
Czechia,"Paper and wood production and processing",2007,94941.30
Czechia,"Mineral industry",2007,197923.23
Czechia,"Waste and wastewater management",2007,348002.07
Czechia,"Chemical industry",2007,97141.60
Czechia,"Production and processing of metals",2007,1499144.33
Czechia,"Energy sector",2008,1703675.31
Czechia,"Other activities",2008,38155.78
Czechia,"Animal and vegetable products from the food and beverage sector",2008,80221.10
Czechia,"Intensive livestock production and aquaculture",2008,25616.00
Czechia,"Paper and wood production and processing",2008,87125.89
Czechia,"Waste and wastewater management",2008,499127.97
Czechia,"Production and processing of metals",2008,1509017.42
Czechia,"Chemical industry",2008,102818.06
Czechia,"Mineral industry",2008,192840.89
Czechia,"Animal and vegetable products from the food and beverage sector",2009,68960.27
Czechia,"Other activities",2009,604104.30
Czechia,"Paper and wood production and processing",2009,55206.27
Czechia,"Waste and wastewater management",2009,766272.37
Czechia,"Production and processing of metals",2009,1026577.97
Czechia,"Energy sector",2009,1766543.15
Czechia,"Chemical industry",2009,113542.97
Czechia,"Mineral industry",2009,113654.76
Czechia,"Intensive livestock production and aquaculture",2009,23551.86
Czechia,"Mineral industry",2010,136580.33
Czechia,"Chemical industry",2010,205953.21
Czechia,"Waste and wastewater management",2010,692346.80
Czechia,"Other activities",2010,190414.70
Czechia,"Animal and vegetable products from the food and beverage sector",2010,73965.76
Czechia,"Production and processing of metals",2010,948392.31
Czechia,"Intensive livestock production and aquaculture",2010,28720.44
Czechia,"Energy sector",2010,1318959.55
Czechia,"Paper and wood production and processing",2010,69175.77
Czechia,"Paper and wood production and processing",2011,63353.92
Czechia,"Intensive livestock production and aquaculture",2011,18636.77
Czechia,"Mineral industry",2011,128381.16
Czechia,"Waste and wastewater management",2011,867386.25
Czechia,"Animal and vegetable products from the food and beverage sector",2011,44082.56
Czechia,"Chemical industry",2011,205099.16
Czechia,"Production and processing of metals",2011,1144397.54
Czechia,"Energy sector",2011,974513.36
Czechia,"Other activities",2011,262729.24
Czechia,"Production and processing of metals",2012,1181274.09
Czechia,"Mineral industry",2012,127878.12
Czechia,"Energy sector",2012,895056.25
Czechia,"Chemical industry",2012,131905.69
Czechia,"Waste and wastewater management",2012,650016.79
Czechia,"Other activities",2012,235350.93
Czechia,"Animal and vegetable products from the food and beverage sector",2012,58344.29
Czechia,"Paper and wood production and processing",2012,54322.17
Czechia,"Intensive livestock production and aquaculture",2012,17512.99
Czechia,"Other activities",2013,243314.14
Czechia,"Intensive livestock production and aquaculture",2013,22122.84
Czechia,"Waste and wastewater management",2013,734363.09
Czechia,"Mineral industry",2013,98288.46
Czechia,"Chemical industry",2013,139859.82
Czechia,"Animal and vegetable products from the food and beverage sector",2013,71016.25
Czechia,"Production and processing of metals",2013,1168228.17
Czechia,"Paper and wood production and processing",2013,49707.40
Czechia,"Energy sector",2013,877233.12
Czechia,"Intensive livestock production and aquaculture",2014,15352.18
Czechia,"Production and processing of metals",2014,1129123.01
Czechia,"Mineral industry",2014,124349.23
Czechia,"Chemical industry",2014,149766.26
Czechia,"Paper and wood production and processing",2014,63919.59
Czechia,"Energy sector",2014,856709.23
Czechia,"Animal and vegetable products from the food and beverage sector",2014,69880.42
Czechia,"Other activities",2014,243396.56
Czechia,"Waste and wastewater management",2014,793591.91
Czechia,"Mineral industry",2015,138970.09
Czechia,"Chemical industry",2015,134975.16
Czechia,"Waste and wastewater management",2015,879295.96
Czechia,"Energy sector",2015,855013.35
Czechia,"Production and processing of metals",2015,1154148.99
Czechia,"Paper and wood production and processing",2015,87902.81
Czechia,"Intensive livestock production and aquaculture",2015,25304.75
Czechia,"Other activities",2015,251401.41
Czechia,"Animal and vegetable products from the food and beverage sector",2015,83425.68
Czechia,"Chemical industry",2016,174123.34
Czechia,"Intensive livestock production and aquaculture",2016,25851.72
Czechia,"Production and processing of metals",2016,1192359.80
Czechia,"Animal and vegetable products from the food and beverage sector",2016,73553.79
Czechia,"Energy sector",2016,766301.93
Czechia,"Waste and wastewater management",2016,1020650.73
Czechia,"Other activities",2016,261312.69
Czechia,"Mineral industry",2016,144124.13
Czechia,"Paper and wood production and processing",2016,108355.33
Czechia,"Paper and wood production and processing",2017,113463.86
Czechia,"Production and processing of metals",2017,1134428.75
Czechia,"Mineral industry",2017,145328.97
Czechia,"Chemical industry",2017,170848.31
Czechia,"Waste and wastewater management",2017,914080.79
Czechia,"Energy sector",2017,519681.27
Czechia,"Intensive livestock production and aquaculture",2017,7106.22
Czechia,"Animal and vegetable products from the food and beverage sector",2017,76535.49
Czechia,"Other activities",2017,300575.56
Czechia,"Production and processing of metals",2018,1184860.88
Czechia,"Energy sector",2018,2618409.56
Czechia,"Mineral industry",2018,144453.93
Czechia,"Chemical industry",2018,169461.94
Czechia,"Waste and wastewater management",2018,946653.61
Czechia,"Animal and vegetable products from the food and beverage sector",2018,92276.44
Czechia,"Other activities",2018,361350.90
